#==========================#

#  Pan-tilt Lidar scanner  #

#  Scan prompt             #

#==========================#

#

#> Send integer value to use as scan result identifier

# Starting scan run 21

# CSV header:

runId,distance,pan,tilt
21,270,12,-10

21,271,15,-10

21,271,18,-10

21,272,21,-10

21,275,24,-10

21,282,27,-10

21,283,30,-10

21,287,33,-10

21,303,36,-10

21,324,39,-10

21,379,42,-10

21,387,45,-10

21,415,48,-10

21,420,51,-10

21,233,54,-10

21,240,57,-10

21,200,60,-10

21,202,60,-15

21,239,57,-15

21,286,54,-15

21,287,51,-15

21,299,48,-15

21,300,45,-15

21,293,42,-15

21,287,39,-15

21,299,36,-15

21,282,33,-15

21,289,30,-15

21,285,27,-15

21,290,24,-15

21,293,21,-15

21,290,18,-15

21,291,15,-15

21,287,12,-15

21,288,9,-15

21,273,6,-15

21,220,3,-15

21,278,0,-15

21,134,-3,-15

21,108,-6,-15

21,108,-9,-15

21,120,-12,-15

21,107,-15,-15

21,106,-18,-15

21,117,-21,-15

21,109,-24,-15

21,110,-27,-15

21,114,-30,-15

21,118,-33,-15

21,115,-36,-15

21,122,-39,-15

21,216,-42,-15

21,198,-45,-15

21,190,-48,-15

21,115,-51,-15

21,118,-54,-15

21,116,-57,-15

21,57,-60,-15

21,68,-60,-20

21,58,-57,-20

21,107,-54,-20

21,118,-51,-20

21,115,-48,-20

21,194,-45,-20

21,200,-42,-20

21,192,-39,-20

21,199,-36,-20

21,122,-33,-20

21,128,-30,-20

21,116,-27,-20

21,114,-24,-20

21,114,-21,-20

21,118,-18,-20

21,112,-15,-20

21,112,-12,-20

21,116,-9,-20

21,113,-6,-20

21,115,-3,-20

21,119,0,-20

21,216,3,-20

21,206,6,-20

21,208,9,-20

21,217,12,-20

21,208,15,-20

21,208,18,-20

21,211,21,-20

21,212,24,-20

21,209,27,-20

21,212,30,-20

21,220,33,-20

21,210,36,-20

21,212,39,-20

21,222,42,-20

21,211,45,-20

21,217,48,-20

21,218,51,-20

21,221,54,-20

21,217,57,-20

21,212,60,-20

21,200,60,-25

21,189,57,-25

21,188,54,-25

21,194,51,-25

21,183,48,-25

21,184,45,-25

21,185,42,-25

21,182,39,-25

21,183,36,-25

21,182,33,-25

21,189,30,-25

21,180,27,-25

21,182,24,-25

21,183,21,-25

21,179,18,-25

21,180,15,-25

21,178,12,-25

21,189,9,-25

21,178,6,-25

21,177,3,-25

21,186,0,-25

21,123,-3,-25

21,123,-6,-25

21,126,-9,-25

21,119,-12,-25

21,117,-15,-25

21,119,-18,-25

21,135,-21,-25

21,120,-24,-25

21,122,-27,-25

21,124,-30,-25

21,142,-33,-25

21,162,-36,-25

21,170,-39,-25

21,178,-42,-25

21,168,-45,-25

21,122,-48,-25

21,170,-51,-25

21,180,-54,-25

21,170,-57,-25

21,67,-60,-25

21,76,-60,-30

21,114,-57,-30

21,152,-54,-30

21,148,-51,-30

21,141,-48,-30

21,151,-45,-30

21,148,-42,-30

21,152,-39,-30

21,148,-36,-30

21,147,-33,-30

21,152,-30,-30

21,146,-27,-30

21,151,-24,-30

21,149,-21,-30

21,153,-18,-30

21,149,-15,-30

21,149,-12,-30

21,160,-9,-30

21,149,-6,-30

21,136,-3,-30

21,163,0,-30

21,153,3,-30

21,151,6,-30

21,162,9,-30

21,155,12,-30

21,156,15,-30

21,153,18,-30

21,166,21,-30

21,153,24,-30

21,157,27,-30

21,170,30,-30

21,157,33,-30

21,154,36,-30

21,162,39,-30

21,154,42,-30

21,154,45,-30

21,159,48,-30

21,163,51,-30

21,157,54,-30

21,157,57,-30

#==========================#

#  Pan-tilt Lidar scanner  #

#  Scan prompt             #

#==========================#

#

#> Send integer value to use as scan result identifier

#! Invalid input, please input integer value#> Send integer value to use as scan result identifier


